976,101,1051,208
313,101,395,182
273,98,318,171
701,89,761,167
1097,129,1155,213
749,89,829,222
1104,171,1184,271
399,64,453,189
955,70,1008,154
778,539,1103,720
988,180,1106,409
1129,212,1238,355
525,78,606,213
1034,349,1269,655
782,224,982,490
375,257,669,644
187,118,268,251
1103,134,1156,212
566,62,597,117
987,101,1051,204
1033,74,1075,174
186,117,249,196
311,102,396,184
272,98,315,171
703,89,761,169
1105,170,1184,269
37,132,70,198
751,91,824,217
779,537,1100,720
955,71,1008,153
399,65,453,189
985,184,1116,411
1128,214,1237,348
525,80,605,213
1033,339,1276,662
782,223,981,491
374,257,668,643
186,118,267,253
1168,147,1237,243
564,62,595,122
1100,134,1155,210
979,104,1051,209
1033,74,1075,179
186,118,248,197
273,98,315,170
700,88,759,153
311,102,395,184
1105,171,1184,278
37,132,70,198
954,71,1008,154
750,91,823,217
1128,214,1237,347
985,182,1119,409
398,64,453,189
525,85,607,215
778,540,1099,719
1044,334,1278,657
780,223,981,490
374,257,674,646
1168,147,1233,233
29,135,50,175
186,118,247,194
1100,148,1152,211
1032,75,1075,171
978,103,1051,207
563,62,595,124
310,104,395,185
270,100,320,169
701,87,760,167
1106,166,1184,266
36,132,71,197
750,91,824,217
954,71,1008,153
988,180,1104,409
1127,213,1235,374
398,64,454,193
525,85,607,216
774,543,1107,720
374,257,675,636
1042,385,1253,645
780,224,982,490
1169,147,1240,237
330,111,396,190
27,136,49,176
0,153,23,191
295,109,346,175
560,62,594,123
1102,147,1148,212
186,118,248,195
1033,75,1075,173
978,103,1051,207
268,101,313,175
687,87,760,164
1102,167,1184,296
36,132,70,198
750,91,824,216
955,71,1008,154
988,179,1104,410
398,65,454,194
1127,213,1235,373
525,84,607,216
774,543,1108,720
1042,387,1260,648
373,258,670,647
782,225,981,490
333,111,397,189
1169,148,1236,240
297,109,345,172
24,136,48,176
1102,151,1148,212
0,153,23,192
187,116,248,195
978,102,1051,207
1035,75,1077,171
690,84,761,166
267,101,314,174
1101,167,1184,295
750,91,824,218
36,132,70,198
955,71,1008,154
773,543,1109,720
1127,212,1237,374
398,64,454,193
984,180,1103,408
526,83,607,214
1049,388,1263,651
374,258,669,640
779,227,982,491
329,111,396,189
298,109,345,174
26,136,49,178
1100,152,1151,211
187,109,255,253
0,151,22,192
1033,75,1075,168
976,102,1051,210
691,84,762,169
268,101,314,174
1103,168,1184,299
977,180,1109,415
37,133,70,198
955,71,1008,154
750,91,824,217
777,539,1103,720
398,64,454,193
527,78,607,215
1127,212,1237,364
1048,360,1273,656
373,258,670,644
779,228,982,490
329,109,397,192
20,136,48,178
295,108,345,175
0,151,21,186
860,31,902,128
187,112,254,251
1100,142,1155,213
1032,75,1076,167
975,103,1051,208
